id,title,type,brand,zona,status,confidence,risco,updated,n_fontes,tiers,path
lei-do-inverso-do-quadrado,Lei do inverso do quadrado,conceito,,universal,draft,alta,,2026-07-26,1,oficial,luz/conceitos/lei-do-inverso-do-quadrado.md
log-c4,LogC4 (ARRI),transfer-function,arri,universal,draft,media,,2026-07-26,1,oficial,conceitos/cor/log-c4.md
ls-600d-pro,Aputure LS 600d Pro,fixture,aputure,universal,draft,media,,2026-07-26,1,oficial,luz/fixtures/aputure/ls-600d-pro.md
mapa-de-luz,Mapa de luz (lighting diagram),documento,,universal,draft,media,,2026-07-26,1,educacao,producao/documentos/mapa-de-luz.md
midia--axs,Cartão AXS (Sony),midia,sony,universal,draft,media,,2026-07-26,1,oficial,_meta/vocab/midia--axs.md
midia--cfexpress-b,CFexpress Type B,midia,,universal,draft,media,,2026-07-26,1,oficial,_meta/vocab/midia--cfexpress-b.md
mount--e,E-mount (Sony),mount,,universal,draft,alta,,2026-07-26,1,oficial,_meta/vocab/mount--e.md
mount--lpl,LPL (Large Positive Lock — ARRI),mount,arri,universal,draft,alta,,2026-07-26,1,oficial,_meta/vocab/mount--lpl.md
mount--pl,PL (Positive Lock),mount,,universal,draft,alta,,2026-07-26,1,oficial,_meta/vocab/mount--pl.md
mte,MTE — Ministério do Trabalho e Emprego (Brasil),orgao,,universal,draft,media,,2026-07-26,1,oficial,conceitos/orgaos/mte.md
nanlux,Nanlux,marca,,universal,draft,media,,2026-07-26,1,oficial,marcas/nanlux.md
ndi,NDI (Network Device Interface),interface,,universal,draft,media,,2026-07-26,1,oficial,live/sinais/ndi.md
netflix-approved,Netflix Approved (câmeras para produções originais),certificacao,,universal,draft,media,,2026-07-26,1,oficial,conceitos/certificacoes/netflix-approved.md
nr-35-trabalho-em-altura,NR-35 — Trabalho em Altura,norma,,universal,stub,media,seguranca,2026-07-26,1,oficial,seguranca/nr-35-trabalho-em-altura.md
obturador-180,Regra do obturador 180°,conceito,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/tecnicas/obturador-180.md
ordem-do-dia,Ordem do dia (call sheet),documento,,universal,draft,media,,2026-07-26,1,educacao,producao/documentos/ordem-do-dia.md
prores,Apple ProRes,codec,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/codecs/prores.md
pwm-brilho-led,PWM e brilho em painel de LED,conceito,,universal,draft,media,,2026-07-26,1,oficial,led-vp/conceitos/pwm-brilho-led.md
pyxis-6k,Blackmagic Pyxis 6K,camera,blackmagic-design,universal,draft,media,,2026-07-26,1,oficial,captacao/cameras/blackmagic/pyxis-6k.md
rec-709,Rec. 709,colorspace,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/cor/rec-709.md
rede-gigabit,Rede para vídeo sobre IP,conceito,,universal,draft,media,,2026-07-26,1,oficial,live/sinais/rede-gigabit.md
s-gamut3-cine,S-Gamut3.Cine (Sony),colorspace,sony,universal,draft,media,,2026-07-26,1,oficial,conceitos/cor/s-gamut3-cine.md
s-log3,S-Log3 (Sony),transfer-function,sony,universal,draft,media,,2026-07-26,1,oficial,conceitos/cor/s-log3.md
scan-rate,Scan rate (taxa de varredura de painel de LED),conceito,,universal,draft,media,,2026-07-26,1,oficial,led-vp/conceitos/scan-rate.md
sdi,SDI (Serial Digital Interface),interface,,universal,draft,media,,2026-07-26,1,oficial,live/sinais/sdi.md
shuttersync,ShutterSync (Brompton),conceito,brompton,universal,draft,media,,2026-07-26,1,oficial,led-vp/conceitos/shuttersync.md
smpte,SMPTE,orgao,,universal,draft,alta,,2026-07-26,1,oficial,conceitos/orgaos/smpte.md
sony,Sony,marca,,universal,draft,alta,,2026-07-26,1,oficial,marcas/sony.md
switcher-me,"M/E, program, preview e keyer — anatomia de um switcher",conceito,,universal,draft,media,,2026-07-26,1,oficial,live/conceitos/switcher-me.md
tally,Tally (sinalização de câmera no ar),conceito,,universal,draft,media,,2026-07-26,1,oficial,live/conceitos/tally.md
temperatura-de-cor,Temperatura de cor (CCT) e tint,conceito,,universal,draft,alta,,2026-07-26,1,oficial,luz/conceitos/temperatura-de-cor.md
venice,Sony VENICE (primeira geração),camera,sony,universal,draft,media,,2026-07-26,1,oficial,captacao/cameras/sony/venice.md
venice-2,Sony VENICE 2,camera,sony,universal,draft,media,,2026-07-26,2,comunidade|oficial,captacao/cameras/sony/venice-2.md
x-ocn,X-OCN (eXtended Original Camera Negative),codec,sony,universal,draft,media,,2026-07-26,1,oficial,conceitos/codecs/x-ocn.md
xavc,XAVC (Sony),codec,sony,universal,draft,media,,2026-07-26,1,oficial,conceitos/codecs/xavc.md
